article_title,question_id,question,answer_text,answer_start_offset,sentence_text
Carnival,572781a9708984140094df87,Who is upon the bed?,the Artist of Honor,850,"In Catalonia people dress in masks and costume (often in themed groups) and organize a week-long series of parties, pranks, outlandish activities such as bed races, street dramas satirizing public figures and raucous processions to welcome the arrival of Sa Majestat el Rei Carnestoltes (His Majesty King Carnival), known by various titles, including el Rei dels poca-soltes (King of the Crackpots), Princep etern de Cornudella (Eternal Prince of Cuckoldry), Duc de ximples i corrumputs (Duke of Fools and the Corrupt), Marquès de la bona mamella (Marquis of the lovely breast), Comte de tots els barruts (Count of the Insolent), Baró de les Calaverades (Baron of Nocturnal Debaucheries), and Senyor de l'alt Plàtan florit, dels barraquers i gamberrades i artista d'honor dalt del llit (Lord of the Tall Banana in Bloom, of the Voyeurs and Punks and the Artist of Honor upon the Bed)."
Korean_War,5726eadbf1498d1400e8efd6,What was the shortest of the major battles fought during the stalemate?,the Battle of the Hook,479,"The principal battles of the stalemate include the Battle of Bloody Ridge (18 August–15 September 1951), the Battle of the Punchbowl (31 August-21 September 1951), the Battle of Heartbreak Ridge (13 September–15 October 1951), the Battle of Old Baldy (26 June–4 August 1952), the Battle of White Horse (6–15 October 1952), the Battle of Triangle Hill (14 October–25 November 1952), the Battle of Hill Eerie (21 March–21 June 1952), the sieges of Outpost Harry (10–18 June 1953), the Battle of the Hook (28–29 May 1953), the Battle of Pork Chop Hill (23 March–16 July 1953), and the Battle of Kumsong (13–27 July 1953)."
Gramophone_record,57277660dd62a815002e9d82,What does LP stand for when it comes to time capacity?,long playing,582,"Phonograph records are generally described by their diameter in inches (12"", 10"", 7""), the rotational speed in rpm at which they are played (16 2⁄3, 33 1⁄3, 45, 78), and their time capacity resulting from a combination of those parameters (LP – long playing 33 1⁄3 rpm, SP – 78 rpm single, EP – 12-inch single or extended play, 33 or 45 rpm); their reproductive quality or level of fidelity (high-fidelity, orthophonic, full-range, etc.), and the number of audio channels provided (mono, stereo, quad, etc.)."
Queen_(band),5726d28b708984140094d267,Which guitarist inspired Queen?,Jimi Hendrix,256,"Queen drew artistic influence from British rock acts of the 1960s and early 1970s, such as the Beatles, the Kinks, Cream, Led Zeppelin, Pink Floyd, the Who, Black Sabbath, Slade, Deep Purple, David Bowie, Genesis and Yes, in addition to American guitarist Jimi Hendrix, with Mercury also inspired by the gospel singer Aretha Franklin."
Dominican_Order,5727e1d64b864d1900163f2f,What should man's nature be centered on?,the One,435,"Thus, man then directs his path to that One, and the love for, and of, Christ guides man's very nature to become centered on the One, and on his neighbor as well."
Richard_Feynman,572e91f8c246551400ce4363,In what book did he talk about his LSD use?,"O Americano, Outra Vez",656,"Feynman gave up alcohol when he began to show vague, early signs of alcoholism, as he did not want to do anything that could damage his brain—the same reason given in ""O Americano, Outra Vez"" for his reluctance to experiment with LSD."
Galicia_(Spain),5727bb2a3acd2414000deacf,"In spite of these wars, which exports did Galicia's Atlantic trade consist of?","sardines, wood, and some cattle and wine",753,"Like the rest of Spain, the 16th century was marked by population growth up to 1580, when the simultaneous wars with the Netherlands, France and England hampered Galicia's Atlantic commerce, which consisted mostly in the exportation of sardines, wood, and some cattle and wine."
Daylight_saving_time,56e74b9f37bdd419002c3e2a,What spring holiday did Britain adjust its DST schedule around?,Easter,314,"Britain was an exception: it retained DST nationwide but over the years adjusted transition dates for several reasons, including special rules during the 1920s and 1930s to avoid clock shifts on Easter mornings."
Friedrich_Hayek,572a6ceb7a1753140016af35,"Apart from easy money, what did Hayek believe unemployment was caused by?",artificially low interest rates,366,"Unemployment and idle resources are, for Keynes, caused by a lack of effective demand; for Hayek, they stem from a previous, unsustainable episode of easy money and artificially low interest rates."
"New_Haven,_Connecticut",5727afea2ca10214002d93d0,Which New Haven resident patented a cast iron stove using grid irons in 1939?,Luigi Pieragostini,476,"Louis' Lunch broils hamburgers, steak sandwiches and hot dogs vertically in original antique 1898 cast iron stoves using gridirons, patented by local resident Luigi Pieragostini in 1939, that hold the meat in place while it cooks."
Han_dynasty,572f87eba23a5019007fc6fc,What Emperor initially created the quota system?,Emperor Wu,317,"He was the top civil and military leader of the commandery and handled defense, lawsuits, seasonal instructions to farmers and recommendations of nominees for office sent annually to the capital in a quota system first established by Emperor Wu."
Wood,56f9fcfbf34c681400b0bf35,Does a beech tree usually have thin or thick sapwood?,thick,501,"Thin sapwood is characteristic of such species as chestnut, black locust, mulberry, osage-orange, and sassafras, while in maple, ash, hickory, hackberry, beech, and pine, thick sapwood is the rule."
